comment,posting_time,rating
"ALDI hat teilweise echt tolle Angebote, unter Anderem Damenschuhe. Leider gibt es die Damenschuhe alle nur bis Schuhgröße 41. Ich habe Schuhgröße 42 und die Schuhgröße 41 ist mir viel zu klein. Was ist daran so schwer, die Damenschuhe auch in Schuhgröße 42 bereitzustellen, bzw. herzustellen? Ich werde es niemals verstehen. Aber gut, dann bekommt halt ein anderes Geschäft mein Geld, wo ich auch Schuhe in meiner Größe bekomme. Diese Geschäfte unterstütze ich sehr gerne lokal und online.","Jan 23, 2024",Rated 5 out of 5 stars
"Ich finde Aldi sehr gut 👍, bin immer zufrieden ! Ich wünsche mir nur andere Arbeitszeiten für die Reinigungskräften,da sie einem mächtig nerven ,wenn sie mit dem Putzwagen Kunden verfolgen und am liebsten den Laden verlässt","Mar 4, 2024",Rated 4 out of 5 stars
"Habe mich Mittlerweile bei Aldi Süd mit Ferrex Akku Werkzeuge eingedeckt.Zuletz Akku Säbelsäge 20 V.Die ich als Astsäge Zweckentfremdet habe..Der Einschaltmechanismus ist etwas umständlich da die "" Sicherung "" seitlich liegt , und meineserachtlich für das Einschalten zwei Hände gebraucht werden.Ansonsten ist die Säge  Leicht,liegt auch mit Akku ausgewogen im der Hand und macht das was sie soll Gut..Und das Allerbeste : Sehr Sehr Günstig erworben...","Feb 1, 2024",Rated 1 out of 5 stars
"Ich habe gestern mein Handy in der Aldi- Filiale Berlin- Mahlsdorf liegen gelassen, Riesenschreck. Heute früh zur Filiale, wo die Mitarbeiter das Teil aufgehoben und mir ohne große Umstände freundlich zurück gegeben haben - ein großes Dankeschön an die Kollegen (das ist kein Lob für Aldi)","May 28, 2023",Rated 1 out of 5 stars
"Es ärgert mich, dass Aldi auf dem Kassenzettel kein Restgeld ausweist. Da ich oft für andere einkaufe und diese gerne den genauen Betrag des Rückgelds wissen möchten, bin ich nun gezwungen, in anderen Supermärkten einzukaufen.","Feb 5, 2024",Rated 5 out of 5 stars
Wir sind seit Jahrzehnten Kunde bei Aldi Süd ,"Jan 29, 2024",Rated 2 out of 5 stars
Immer zufrieden vor allem die Qualität stimmte. Seitdem die Eigenmarken von Aldi Nord eingeführt wurden ist die Qualität teils grottenschlecht. Der hervorragende Tizio Espresso wurde durch die miese Qualität von Barrissimo ersetzt ,"Aug 1, 2023",Rated 1 out of 5 stars
Wir werden Aldi den Rücken kehren ,"Jun 15, 2023",Rated 2 out of 5 stars
Übrigens sind wir nicht allein mit unserer Meinung unser Bekanntenkreis ist gleicher Meinung ,"Sep 20, 2023",Rated 3 out of 5 stars
So richtet man eine Marke zugrunde,"Jun 3, 2023",Rated 5 out of 5 stars
"Dickes Lob für die Mitarbeiter von ALDI- Nord, 08060 Zwickau, Marienthaler Straße 8!","Oct 27, 2023",Rated 2 out of 5 stars
"Weshalb? Weil uns stets ein sehr freundliches, hilfsbereites und absolut kompetentes Verkaufspersonal berät! ","Jan 20, 2024",Rated 2 out of 5 stars
Und weil uns Kunden immer ein gut sortiertes Angebot in allen Bereichen erwartet! Lieben Dank!,"Mar 2, 2024",Rated 2 out of 5 stars
