comment,posting_time,rating
Betrug oder doch nur Verarschung?,"Nov 5, 2022",Rated 1 out of 5 stars
"Artikel die erst ab 07.11.22 angeboten werden sind bereits nach wenigen Minuten nach Beginn, ausverkauft.","Nov 2, 2022",Rated 1 out of 5 stars
Schade das sich Aldi dieser Mittel bedienen muss.,"Oct 30, 2022",Rated 1 out of 5 stars
Das war das letzte mal das WIR etwas im Onlineshop bestellt haben,"Oct 29, 2022",Rated 1 out of 5 stars
Ausgezeichnete Preis stimmen immer öfter nicht mit den zu zahlenden Preisen überein!,"Oct 28, 2022",Rated 1 out of 5 stars
Bei Aldi ist dies besonders oft der Fall!-Scheinbar Methode und Absicht!,"Oct 28, 2022",Rated 1 out of 5 stars
"Ein kontrollieren während des Kassierens ist so gut wie unmöglich, da man ja anderweitig beschäftigt ist (einpacken der Ware) und auch nicht alle ausgezeichneten Preise im Kopf haben kann. ","Oct 27, 2022",Rated 1 out of 5 stars
Der Gesetzgeber ist wider mal gefordert Aldi + Co in die Schranken zu weisen!!!!,"Oct 22, 2022",Rated 1 out of 5 stars
Ich werde nicht mehr bei Aldi einkaufen!,"Oct 20, 2022",Rated 1 out of 5 stars
"Meine Katzen bedanken sich bei euch das Katzen Futter immer teuer wird, vom 35 Cent, nach und nach auf 75, hoffentlich geht ihr pleite, nie mehr aldi","Oct 20, 2022",Rated 1 out of 5 stars
"Ich musste heute beim Kauf von zwei Cola und zwei Bier mit einer Summe von ca. 3,5 Euro feststellen, das dies laut dem Personal bei Aldi Süd nicht mit Karte bezahlbar ist, nur in bar. Ich wurde aufgefordert noch etwas zu kaufen, damit ich auf 5 Euro komme. Ich bin mir recht sicher das ist unzulässig und auch absolut unzeitgemäße Abzocke.","Oct 19, 2022",Rated 1 out of 5 stars
"Ich habe am Donnerstag ein Gyros Hähnchen gekauft,das Fleisch bestand nur aus Resten, für mich ungenießbar, Fleisch werde ich bei Aldi nicht mehr kaufen.","Oct 18, 2022",Rated 1 out of 5 stars
Groß Werbung und dann ist man gleich um 7.00 da aber die beworbene Ware nicht .,"Oct 17, 2022",Rated 1 out of 5 stars
Ich nenn soetwas LEUTE VERARSCHEN,"Oct 13, 2022",Rated 1 out of 5 stars
"Große Werbung über Medion Notebook für 499,- ","Oct 11, 2022",Rated 1 out of 5 stars
Ab Donnerstag 27.10.22.,"Oct 10, 2022",Rated 1 out of 5 stars
Bin extra vor den Öffnungszeiten zum Aldi gefahren um mir ein Notebook zu kaufen.,"Oct 10, 2022",Rated 5 out of 5 stars
Mitarbeiter bei Aldi Süd in Tübingen Rosenthalstr. äußerst hilfsbereit und freundlich!,"Oct 6, 2022",
Tut richtig gut!,"Oct 6, 2022",Rated 5 out of 5 stars
Wir haben im ALDI-Onlineshop die HOME DELUXE,"Oct 4, 2022",Rated 1 out of 5 stars
Sauna Skyline L bestellt und direkt per Paypal bezahlt.,"Sep 30, 2022",Rated 1 out of 5 stars
Gestern sollte die Sauna gegen 9-16 angeliefert werden. ,"Sep 28, 2022",Rated 5 out of 5 stars
1.) Der Spediteur kam erst um 18:45,"Sep 25, 2022",Rated 1 out of 5 stars
"2.) Die Verständigung war nicht möglich, da der Fahrer kein Deutsch oder Englisch gesprochen hat.","Sep 24, 2022",Rated 1 out of 5 stars
"3.) Die Glastür war komplett zersprungen (zerpröckelt). Die schweren Kartons waren übereinander auf einer Palette gestapelt. Der Karton mit der Glastür war nicht gekennzeichnet ( z.B ""Vorsicht Glas"" ) und war der untere der beiden schweren Kartons. Dadurch ist es nicht verwunderlich dass durch das schwere Gewicht des anderen Kartons die Scheiben durchgebrochen sind. Es ist für mich völlig unverständlich wie man so die Ware verpacken kann.","Sep 21, 2022",Rated 1 out of 5 stars
Des Weiteren wurden die Zubehörteile in offenen Kartons angeliefert. Die Holzfassade der Lampe war ebenfalls gebrochen.,"Sep 21, 2022",Rated 1 out of 5 stars
Bilder haben wir gemacht und dokumentiert!,"Sep 21, 2022",Rated 1 out of 5 stars
Beim Kundendienst hat man natürlich niemand erreicht und mit dem Fahrer konnte man sich auch nicht verständigen. Wir haben die Ware nicht angenommen.,"Sep 20, 2022",Rated 1 out of 5 stars
Es ist eine absolute Frechheit wie hier der Ablauf war.,"Sep 16, 2022",Rated 1 out of 5 stars
"Es ist sehr ärgerlich dass wir jetzt noch zusätzlich auf den Kosten der Handwerker sitzen bleiben, da alles genau getaktet war.","Sep 15, 2022",Rated 1 out of 5 stars
"Riesen Anzeige im Prospekt.Aldi hatte Batterien im Angebot. 2,89€ Lt. Mitarbeiter wurden gar keine geliefert. Lt. Website von Aldi nur in geringer Stückzahl vorhanden. Dies war eine Fehlinformation. Der Artikel wurde gar nicht erst ausgeliefert. Die Filiale hatte keine Informationen, ob der Artikel am nächsten Tag oder überhaupt geliefert wird. So geht man nicht mit Kunden um. Das Schreiben der Zentrale war eine Farce. Kein Hinweis, ob der Artikel noch geliefert wird! Kundendienst ist ein Fremdwort bei Aldi!","Sep 15, 2022",Rated 1 out of 5 stars
Habe bei Aldi Online preisgünstig einen kabellosen AEG Staubsauger bestellt. Dieser kam pünktlich in der Woche der Bestellung mit DHL. Versandhinweise wurden mir stets aktuell mitgeteilt. Ich bin sehr zufrieden und habe mit dieser Bestellung keinerlei Grund zu irgendeiner Klage!,"Sep 13, 2022",Rated 1 out of 5 stars
Hoffentlich sterben alle die die bei Aldi was zu sagen haben. :),"Sep 10, 2022",Rated 1 out of 5 stars
LG,"Sep 9, 2022",Rated 1 out of 5 stars
"Wir haben sehrviel bei Aldi Süd eingekauft. Seit wir durch Umzug bei Nord gelandet sind, hat sich dies radikal geändert. Grundnachungsmittel und Obst/Gemüse garnicht mehr, Aldi ist ein Preistreiber.","Sep 8, 2022",Rated 1 out of 5 stars
Obst-und Gemüse sind bei Aldinord hier nur welkes und verschrummelte Ware. Seit Aldi Werbung im TV hat ist uns das Unternehmen unangenehm. Die sollten Grundnachungsmittel für für preisbewusste,"Sep 6, 2022",Rated 1 out of 5 stars
"anbieten. Zuletzt hatten wir Apfelsaft gekauft, aber","Sep 4, 2022",Rated 1 out of 5 stars
"Wir haben vor 3 Wochen eine E-bike gekauft . 1 Woche später war es bei ALDI 200 € billiger. Da es ein Rückgabezeitfenster von 3 Monaten gibt, haben wir ALDI gebeten uns die Differenz von 200 € zu erstatten, damit der unnötige CO2 Fußabdruck (Bilanz) minimiert werden kann. Zumindest besser als das Fahrrad zurückschicken und das NEUE (gleiche) wieder liefern zu lassen. Es gab keine Antwort auf die Email, sondern nur die Spedition hat sich gemeldet zur Abholung. Ich denke, das kann ALDI sowie alle anderen ,definitiv verbessern.","Sep 3, 2022",
"Bei Online Bestellungen via Medion größte Vorsicht! Der Service ist grottenschlecht.  Termine werden nicht eingehalten, Leere Versprechungen gemacht.","Sep 2, 2022",Rated 5 out of 5 stars
Der Rüchtransport eines beschädigten Gefrierscrankes geht jetzt schon in die 3. Woche entgegen allen Versicherungen.,"Sep 1, 2022",Rated 1 out of 5 stars
"Achtung! Mängelanzeige - keine adäquate Reaktion von Aldi liefert!  Wir haben bei Aldi liefert online in 2021 einen Whirlpool gekauft, weil wir ihn für unser Krankenbild einsetzen wollen, er günstig angeboten wurde und wir dachten, dass wir ein langlebiges gutes Produkt erwerben. Der Whirlpool kostet mehrere Tausend Euro und wird als Testsieger angepriesen. Die Anlieferung lief schon mit Problemen, aber die Freude, dass wir uns endlich diese Grossabschaffung geleistet haben, hat die Probleme vergessen lassen. Der Whirlpool marple white kam von der Fa. Home Deluxe, welche mehrere Artikel über Aldi liefert online verkauft. Jetzt, innerhalb der gesetzlichen Gewährleistung, haben wir Probleme mit der Filterklappe und dem Hauptdrehregler. Wir dachten, schnell mal hinschreiben, dann wird es sicherlich fix repariert. Wir möchten den Whirlpool ja auch nutzen. Für einen Fachmann bestimmt kein großes Problem - aber ärgerlich, dass es überhaupt schon nach einer Saison passiert. Hoffentlich geht nicht noch mehr kaputt.  Ich schreibe nun schon seit Wochen!  Aldi ist der Verkäufer, ist also verantwortlich, meldet sich aber aktiv Null! Es gibt keinen Menschen mit dem man sprechen kann, es kommen seit Wochen nur Vorgangsnummern und Hinhalteaussagen per automatischer Antwort! Home Deluxe ist wenigstens noch zu erreichen, aber eine Reparatur durch ihre Servicemonteure (welche sie lt. Eigener Aussage gar nicht haben) wird abgelehnt! Ersatzteile zum selber einbauen mit m. E. Dreisten Anmerkungen sind das Resultat. Alles nach einer Mängelanzeige in der Gewährleistung, in der sie gesetzlich tätig werden müssen - wie wird es bei Problemen danach aussehen?  Der Whirlpool ist groß, schwer  und teuer - man kann ihn nicht einfach zurückschicken. Wir können ihn auch nicht auseinander bauen und Teile einmontieren, so wie es Home Deluxe uns vorschlägt. Wir sind Käufer und Nutzer, kein Servicehilfsdienst. Wir möchten über Jahre Freude an diesem Herzenswunsch haben  - nach noch nicht mal einem Jahr haben wir schon Bedenken und Einschränkungen.  Wir bemühen uns freundlich, aber bekommen von Aldi keine Unterstützung. Hat Aldi es nicht nötig sich um ihre Kunden zeitnah und kompetent zu kümmern? Keine gute Marketingstrategie.    Wir sind sehr enttäuscht, empört und wissen derzeit noch nicht wie es weiter geht. Wenn jetzt nicht eine 180 Gradwende passiert (über welche ich auch gerne berichten würde) hat Aldi uns als Kunde verloren.  Vielleicht hat Aldi als Billiganbieter einfach nicht das know-how für einen Onlineshop und teuere Produkte?!","Sep 1, 2022",Rated 1 out of 5 stars
"Inkompetenter ""Service""!","Aug 31, 2022",Rated 1 out of 5 stars
Meine Terrassenüberdachung habe ich Anfang August (!!) bestellt,"Aug 31, 2022",Rated 1 out of 5 stars
"Seit dem habe ich diverse Male telefonisch versucht, nachzuhaken, ohne das ich auch nur EINE verlässliche Aussage bekommen habe!","Aug 30, 2022",Rated 1 out of 5 stars
Ich kann nur jedem raten:,"Aug 29, 2022",Rated 5 out of 5 stars
HÄNDE WEG!,"Aug 26, 2022",Rated 1 out of 5 stars
Unseriöser Verein 🤬😡🤮,"Aug 25, 2022",Rated 1 out of 5 stars
"Aldi Süd ist nur noch auf Laufkundschaft aus. Da gibt es dann auch keine Kritik. Stehe permanent vor leeren Brotregalen. Bitte um Anschlag der Backzeiten wurde mit automatischer Antwort - die nur für die Tonne geeignet ist - beantwortet: ""So kann es sein, dass ein Produkt nur regional, saisonal oder testweise angeboten wird"" Na dann ....","Aug 23, 2022",Rated 1 out of 5 stars
Eben war ich bei Aldi in Hettstedt einkaufen. ,"Aug 23, 2022",Rated 1 out of 5 stars
"Sehr sauber, ordentlich und ganz Freunde schnelle Mitarbeiter!!!","Aug 23, 2022",Rated 1 out of 5 stars
"Aufgrund des heißen Sommers bestellte ich im Aldi-Onlineshop die mobile Klimaanlage Mokli XL, 5-in-1-System! Als Lieferzeit wurden mir 5 - 10 Tage angegeben. Ok.","Aug 22, 2022",Rated 1 out of 5 stars
"Um so verwunderter und erfreuter war ich, als ich nach drei Tagen (WE) die Nachricht von DPD erhielt, PAKET von Aldi geliefert.","Aug 21, 2022",Rated 1 out of 5 stars
Nach der Arbeit so schnell wie möglich nach Hause. ,"Aug 17, 2022",Rated 1 out of 5 stars
"Nichts. Alle direkten Nachbarn abgeklappert, nichts.","Aug 16, 2022",Rated 1 out of 5 stars
"Ok, dann mal DPD anrufen, aber wo ist die Verfolgungsnummer? ","Aug 14, 2022",Rated 2 out of 5 stars
Und damit begann die Odysse!,"Aug 13, 2022",Rated 1 out of 5 stars
"Nach etlichen Telefonaten mit Aldi, Home Deluxe bekam ich endlich meine Verfolgungsnummer. ","Aug 12, 2022",Rated 1 out of 5 stars
Miserable Organisation.,"Aug 12, 2022",
Fehlerhafter Artikel wurde geliefert und nach Reklamation von Hermes wieder abgeholt.,"Aug 11, 2022",Rated 1 out of 5 stars
"Umtausch ist angeblich nicht möglich, nur Rückabwicklung.","Aug 11, 2022",Rated 1 out of 5 stars
Nach 6 Wochen ist noch immer keine Rückerstattung erfolgt.,"Aug 10, 2022",Rated 1 out of 5 stars
Aldi ist hier scheinbar nur der Betreiber der Plattform und wälzt bei Problemen Alles auf Hersteller und Lieferant ab.,"Aug 8, 2022",Rated 1 out of 5 stars
Der ganze Vorgang zieht sich jetzt schon über 2.5 Monate.,"Aug 4, 2022",Rated 2 out of 5 stars
"Neu bestellen werde ich jetzt über Aldi garantiert Nichts mehr, da der Sommer bald vorbei ist.","Aug 3, 2022",Rated 1 out of 5 stars
VORSICHT - UNSERIÖSE GESCHÄFTSPRAKTIKEN  - ,"Aug 2, 2022",Rated 1 out of 5 stars
"Online-Bestellung wurde nicht geliefert. ALDI behauptet, der Lieferant sei Schuld, ich solle mich an diesen wenden. Dort schiebt man die Schuld auf Aldi. Vom Aldi Kundenservice keinerlei Aussage, nur sich ständig wiederholende Textbausteine und  Fragen, obwohl man diese bereits tausend mal beantwortet hat. Wie aus einer Maschine, weniger von Menschen.","Aug 1, 2022",Rated 5 out of 5 stars
" Äußerst unseriös, schon fast betrügerisch! ","Jul 30, 2022",Rated 1 out of 5 stars
Geld wurde von Aldi einbehalten - keine Chance auf Erstattung. ,"Jul 29, 2022",Rated 1 out of 5 stars
Anwalt eingeschaltet.,"Jul 29, 2022",Rated 1 out of 5 stars
Nie wieder Aldi Online - das Gegenteil vom Amazon Kundenservice,"Jul 28, 2022",Rated 1 out of 5 stars
FINGER WEG!,"Jul 28, 2022",Rated 1 out of 5 stars
"Vor 8 Wochen ein Navi bestellt, bis heute nicht erhalten.","Jul 28, 2022",Rated 1 out of 5 stars
"Nach unzähligen Mails und mehreren ausgefüllten Formularen, heute endlich Antwort erhalten mit dem Resultat, DHL sei schuld und 269,-€ für mich als Endkunde weg und Aldi stiehlt sich aus der Verantwortung.","Jul 27, 2022",Rated 1 out of 5 stars
NIE WIEDER!,"Updated Aug 26, 2022",Rated 1 out of 5 stars
"Leider schlechte Erfahrungen, heute um ca um 16:45 kam ich um mir einen Krautsalat , und eine Dose Prosecco zu kaufen. Ich habe mir nur dass passende Geld mitgenommen, weil zu Fuß mit Hund . An der Kasse sagte man mir 3,03 Euro, ich hatte 3,00 Euro mit . Ich sagte dem Verkäufer dass der Krautsalat für 2,69 ausgezeichnet ist , darauf hin sagte er mir dass es wohl eine andere Sorte ist . Der Verkäufer, hatte wohl keine Lust , um nachzuschauen, somit musste ich den Krautsalat zurück geben. Dass wäre mir im Edeka nicht passiert, denn dort hatte ich auch schon mal 5 Cent zu wenig , und ich konnte meine Ware mitnehmen. Aldi ist für mich leider deswegen durch .","Jul 25, 2022",Rated 1 out of 5 stars
"Sehr schlecht! Strandkorb kam defekt an, das Geld kam erst nach Monaten zurück. Fahrrad war ok, musste nur Monate darauf warten. Ich war am verzweifeln, schließlich hatte Aldi 2000Euro von mir und nichts passierte, erst als ich wohl die 8 Email schrieb und mit Rechtsanwalt drohte, kam etwas Schwung in die Sache. Ich halte eigentlich sehr viel von Aldi, keine Ahnung warum die ihren Online Handel nicht hinbekommen.","Jul 25, 2022",Rated 1 out of 5 stars
"Wenn man vor eine Woche ein Produkt in werbepost steckt,","Jul 25, 2022",Rated 1 out of 5 stars
Wer bei Aldi Online Shop Medion Ware bestellt und eine Retoure hat wartet Monate auf sein Geld. Nach 6 Wochen immer noch nicht gutgeschrieben. Nicht zu empfehlen.,"Jul 23, 2022",
Ein super Whirlpool gekauft 2800 Euro Outdoor Whirlpool Home Deluxe White 😞 nach anderthalb Jahren undicht Monteur gibt es bei der Firma nicht ich soll es selber mit einem Heißluftföhn reparieren Sie würden mir Ersatzteile schicken eine Unverschämtheit lass dir die Finger von den Produkten ☝🏻☝🏻☝🏻☝🏻 Und glaub nicht dass Aldi euch hilft da gibt es nur eine Absage dass sie mit dem Produkt nichts mehr nach zwölf Monaten zu tun haben  beim nächsten Mal Amazon 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,"Jul 20, 2022",Rated 1 out of 5 stars
"Habe ein E-Bike der Marke Jeep ULM 7000 gekauft. Es fehlte eine brauchbare Montageanleitung, so dass ich mit dem Zusammenbau allein gelassen wurde. Das Vorderrad ließ sich nicht an die Gabel montieren. Habe die Ware daher wieder mühsam eingepackt und wollte sie zurückschicken. Gestern habe ich 8 Stunden lang vergeblich auf den Spediteur gewartet. Erst auf tel. Nachfrage erfuhr ich, dass er wg. einer Fahrzeugpanne nicht mehr kommt. Hätte man da nicht von sich aus absagen können? Die Spedition will sich übermorgen bei mir wg. Terminabsprache wieder melden. Bin gespannt, wie es weitergeht. Hätte ich doch vorher die ganzen Bewertungen hier gelesen...","Jul 20, 2022",Rated 1 out of 5 stars
"Aldi verkauft Einhell Schmutzwasserpumpe BG-SWP 750 für 49,99€. Bei meiner online-Recherche bin ich auf Einhell-Werksverkauf gestoßen. Hier der Hinweis: B-Ware, gebraucht wie neu. Im Prospekt KEIN Hinweiß. Zudem 10€ teurer wie im Werksverkauf. Auch wird diese Serie nicht (mehr) auf Einhell-HP angeboten. Geht gar nicht.","Updated Jul 19, 2022",Rated 1 out of 5 stars
Bisher war ich sehr zufrieden mit Einkäufen im ALDI. Aber hier wird der Kunde hinters Licht geführt. Schade.,"Updated Jul 19, 2022",Rated 1 out of 5 stars
Aldi verkauft das e Bike mit 1 bis 4 Tagen Lieferzeit. ,"Jul 17, 2022",Rated 1 out of 5 stars
Am 10.7.22 gekauft und sofort bezahlt. ,"Jul 15, 2022",Rated 1 out of 5 stars
Am 14.7 22 eine versende Email bekommen und siehe da dort wurde Hermes elektronisch bereits am 12.7.22 die Sendung angekündigt. ,"Jul 15, 2022",Rated 1 out of 5 stars
Auf Nachfrage kommt das bla bla zur jetzigen Lage und generell einfach eine Standart Antwort. ,"Jul 14, 2022",Rated 1 out of 5 stars
"Heut ist der 17.7 22 und am Status hat sich nichts verändert "" Elektronisch übermittelt ""","Jul 14, 2022",Rated 4 out of 5 stars
Im Shop stehen immer noch 1 bis 4 Tage...  ,"Jul 14, 2022",Rated 2 out of 5 stars
Sinnlos wenn man weiß das man es nicht einhalten wird. ,"Jul 14, 2022",Rated 2 out of 5 stars
Es wurde aufgrund der Lieferzeit gekauft und nun wartet und wartet man.,"Jul 14, 2022",Rated 1 out of 5 stars
Update 19.7.22: Hermes Paket ist im Verteilerzentrum angekommen und voraussichtliche Zustellung am 20.7.22,"Jul 14, 2022",Rated 5 out of 5 stars
Zwei E-Scooter bestellt. Wurden auch schnell geliefert. Bis dahin war alles bestens.,"Jul 13, 2022",Rated 5 out of 5 stars
"Der erste hatte gleich zu Beginn erhebliche elektrische Probleme, also reklamiert und zwar mit dem Betreff ""Garantie und Reparatur"", wie im Formular vorgegeben.","Jul 13, 2022",Rated 1 out of 5 stars
"Um es kurz zu machen: trotz wiederholter Aufforderung, den Roller zum Hersteller zur Reparatur zu schicken, wurde mehrmals geantwortet, dass es eine Retoure sei und das Geld zurücküberwiesen würde. So ist es auch passiert.","Jul 13, 2022",Rated 1 out of 5 stars
"Kurz bevor dieser Roller abgeholt wurde, bekam der zweite ein Problem mit der Hinterachse. Die daraufhin erfolgte Reklamation mit dem Formular und wieder ""Garantie und Reparatur"" wurde überhaupt nicht ins System eingegeben, was ich 19 Tage später mit einem Anruf bei der Hotline feststellen musste.","Jul 13, 2022",Rated 1 out of 5 stars
"Das alles im Zusammenhang mit der abholenden Spedition, dem Hersteller Prophete und Aldi online ging viel tiefer als ich es hier beschreiben will. Erkenntnis: Bei Aldi weiss die linke Hand nicht, was die rechte macht, die Aldispedition JCL gibt falsche Auskünfte, nur Prophete hatte den richtigen Tipp für mich, nämlich bei zukünftigen Problemen mit ihren Produkten Aldi ganz außen vorzulassen und es direkt mit ihnen zu klären.","Jul 11, 2022",Rated 1 out of 5 stars
"Dem mehrfachen Kundenwunsch nach Reparatur wurde bei beiden Rollern nicht entsprochen. Ich habe dann den zweiten auch auf ""Retoure"" gesetzt, damit das Hin und Her ein Ende hat.","Jul 11, 2022",Rated 1 out of 5 stars
Leider ist aldi online nicht erreichbar.  Auf grund einer falschen Lieferung wollte ich das Produkt zurücksenden.  Ich habe weder auf meine 3 Mails noch auf meinen Anruf eine Rückmeldung erhalten.  Die Hersteller Firma meinte Aldi wäre verantwortlich.  Ich sitze jetzt hier und kann den Helm nicht verschicken. ,"Jul 8, 2022",
Ganz übel zum Kundenservice. ,"Jul 8, 2022",Rated 1 out of 5 stars
Grüße Susanna Schmitt-Martini,"Jul 6, 2022",Rated 1 out of 5 stars
"Leider holt man sich selbst bei einem hastigen Schnelleinkauf eine Riesenerkältung. Die vielen Kühlregale haben keine Scheiben, was für eine enorme Energieverschwendung. Und dann steht ironischerweise auf dem Einkaufswagen: ""wir schieben Umweltschutz nicht vor uns her""....!!! Da kann ich nur stauen, für wie dumm halten die ihre Kunden.","Jul 6, 2022",Rated 1 out of 5 stars
Schont euere Nerven und Bestellt woanders !,"Jul 6, 2022",Rated 1 out of 5 stars
Großer Name Nix dahinter . Das einzige was Reibungslos funktioniert ist die Bezahlung .,"Jul 4, 2022",Rated 1 out of 5 stars
Auf Mails erhält man Standard Antworten .,"Updated Jul 8, 2022",Rated 1 out of 5 stars
"Nach mehrmaligen Versuchen dann doch den Kundenservice erreicht , der sich mühsam Mühte das ich mein Geld zurückbekomme . Mal sehen wie lange es dauert bis es auf meinem Konto ist .","Jul 4, 2022",Rated 1 out of 5 stars
Am 16.5. einen Grill bestellt und bezahlt. Bis heute noch nicht vollständig geliefert!,"Jul 4, 2022",Rated 1 out of 5 stars
"Mails werden grundsätzlich ignoriert. Nach mittlerweile drei Anrufen in der Hotline (jeweils mindestens 1 Std Warteschlange) immer noch keine Reaktion. Ich erhielt drei verschiedene Zusagen, die alle nicht eingehalten wurden.","Jul 2, 2022",Rated 1 out of 5 stars
"Obwohl ich bereits mehrfach mitgeteilt habe, dass ich vom Kaufvertrag zurück trete und mein Geld zurück haben will, immer noch keine Reaktion.","Jul 1, 2022",Rated 1 out of 5 stars
Ich habe jetzt die Schnauze voll und schalte meinen Anwalt ein und erstatte Anzeige wegen Betrug. Eine andere Möglichkeit sehe ich nicht mehr um an mein Geld zu kommen.,"Jun 30, 2022",Rated 1 out of 5 stars
"Ich hätte die Bewertung hier vorher lesen sollen. Ich habe leider blind dem Namen Aldi vertraut. Geschichte kurz abgekürzt: Lieferung kam nur teilweise an, Kundenservice war nicht vorhanden, ich erhielt keine Antwort. Mittlerweile hat Aldi alles zurück. Auf mein Geld warte ich natürlich noch. Furchtbar nie wieder!","Jun 29, 2022",Rated 1 out of 5 stars
"Toller Artikel.... E-Mountainbike R6 Neo 27,5""","Jun 28, 2022",Rated 1 out of 5 stars
Wenn er denn in der Lieferzeit käme...,"Jun 28, 2022",Rated 1 out of 5 stars
.,"Jun 28, 2022",Rated 1 out of 5 stars
"Fast 1 Stunde in der Dudel-musikalischen Warteschleife, support bemüht aber erfolglos und seitdem keine Lebenszeichen mehr... Aber das Geld war sofort abgebucht.. Daher künftig nicht mehr, keine gute Werbung Aldi","Jun 27, 2022",Rated 1 out of 5 stars
Update 8.7.:,"Jun 27, 2022",Rated 1 out of 5 stars
Aus den 40 Minuten wurden 65.,"Jun 25, 2022",Rated 1 out of 5 stars
"Ergebnis: Man gibt es an die Fachabteilung weiter, diese meldet sich. Natürlich geschah nichts, darum habe ich heute wieder angerufen. Nach der Auskunft, man würde sich zeitnah melden, wurde grußlos aufgelegt. Seit Mittwoch liegt im Aldi-Postfach der Post in Düsseldorf mein EINSCHREIBEN, dass aber bisher nicht abgeholt wurde (Nachvollziehbar durch Sendungsverfolgung). Gerade las ich in den AGB, dass Aldi nicht an Schlichtungsverfahren teilnimmt. Warum wohl…?","Jun 24, 2022",Rated 1 out of 5 stars
"Sehr Freundlicher Kundenservice! Bestellung getätigt am 13.06, Elektronisch Angekündigt am Abend von Dhl allerdings danach keine Informationen, dann 2 Telefonate mit dem Aldi Online Shop die das Paket angeschubst haben und Nachforschungen eingeleitet hatten.  Ware kam am 23.06 an via DHL 😍","Jun 24, 2022",
Warte seit über einem Monat auf meinen Fernseher + habe über 2 Stunden in der Kundenservice Warteschlange gehangen.,"Jun 22, 2022",Rated 4 out of 5 stars
Am 11. Juni habe ich einen Ampelsonnenschirm bestellt und mit Karte bezahlt.,"Jun 22, 2022",Rated 1 out of 5 stars
"Bis heute, 22. Juni, nicht geliefert und Verzögerung auf Transporteur geschoben.","Jun 22, 2022",Rated 1 out of 5 stars
Reklamation via Kundendienst (Telefon und Email),"Updated Jul 6, 2022",Rated 1 out of 5 stars
ergab Null Reaktion.,"Jun 20, 2022",Rated 1 out of 5 stars
"Absolut unzuverlässiger Online Shop. Liefertermine werden nicht eingehalten, keinerlei Reaktion auf Nachfrage wann und ob überhaupt geliefert wird, obwohl der Artikel schon längst bezahlt ist. Man fühlt sich allein gelassen und hat das Gefühl, dass Aldi die ganze Sache überhaupt nicht organisiert kriegt. Und das bei so einem Konzern! Der schlechteste Shop mit dem ich jemals zu tun hatte. Aldi, nein danke.","Jun 20, 2022",Rated 1 out of 5 stars
ALDI Onlineshop. 1* ist noch zuviel.,"Jun 20, 2022",Rated 1 out of 5 stars
"Service gleich null, auf Schreiben wird nicht reagiert, man wird vertröstet, man komm gar nicht durch die Warteschleife „durch“, nach 1 Std. Warten aufgelegt…","Jun 19, 2022",Rated 1 out of 5 stars
GROTTEN SCHLECHTER Service!!!,"Jun 19, 2022",Rated 1 out of 5 stars
NIE wieder!!!,"Jun 18, 2022",Rated 1 out of 5 stars
Bestellung einer Wellnessliege am 28.04.22 aufgegeben. Bis heute NICHTS.,"Jun 17, 2022",Rated 3 out of 5 stars
Schließe mich den Vorredner an. Lieferzeiten waren mit 5-10 Werktagen angegeben. Daraus wurden später ohne Info 20 gemacht. ,"Jun 16, 2022",Rated 1 out of 5 stars
"Nochmal: 28.04.22 bestellt, heute ist der 21.06.22.","Jun 15, 2022",Rated 1 out of 5 stars
Das ist doch ein Scherz!!!,"Jun 15, 2022",Rated 1 out of 5 stars
Die Liege wird aktuell immer noch oder wieder angeboten mit „sofort lieferbar“. ,"Jun 14, 2022",Rated 1 out of 5 stars
Ich habe die immer noch nicht.,"Updated Jul 6, 2022",Rated 1 out of 5 stars
ALDI interessiert der Kunde nicht. Ich empfehle nur NICHT auf Onlineangebote reinzufallen und gar zu bestellen.,"Jun 13, 2022",Rated 1 out of 5 stars
"Update 07.07.22 Die Liege ist immer noch NICHT ausgeliefert. ALDI online, der allerletzte Laden.","Jun 13, 2022",Rated 1 out of 5 stars
Keine Infos und keine Info wie/wo man die Bestellung stornieren kann. ,"Jun 13, 2022",Rated 1 out of 5 stars
Habe am 25.04.22 Spots bei Aldi bestellt.,"Jun 12, 2022",
"Nachdem uns der Elektriker darauf hingewiesen hat, dass die Leuchtmittel nicht austauschbar sind, habe ich die Bestellung widerrufen. Die Annahme der Ware wurde deshalb verweigert.","Jun 11, 2022",Rated 1 out of 5 stars
Trotz mehrerer Aufforderungen fehlt immer noch die Erstattung des Kaufpreises.,"Jun 11, 2022",Rated 1 out of 5 stars
"Sollte die Gutschrift nicht bis zum 20.06.22 erfolgt sein, dann werde ich wohl rechtliche Hilfe in Anspruch nehmen. Es geht hier schließlich um fast 180,00 Euro.","Jun 10, 2022",Rated 2 out of 5 stars
Ganz schlechter umgang mit seinen Kunden.  Warte seit mehr als 6 Wochen auf meine Ware. Obwohl sie nach 5 Tagen  bei mir sein sollte . Aussage von Aldi  : Man habe zur Zeit Lieferschwierigkeiten da keine Fahrer zur Verfügung stehen - was mir als Kunde aber recht egal ist . Nie wieder,"Jun 10, 2022",Rated 1 out of 5 stars
Hab einen Grill bei Aldi bestellt der kam auch nach angegebenen 10 Tagen.,"Jun 10, 2022",Rated 1 out of 5 stars
